Vehicul,Distanța GPS,Kilometraj Oprire CAN,Timp în mișcare,Timp functionare staționară,Funcționare motor
AG-06-ELD,"949,94",,18h 32m 17s,10h 27m 00s,14h 09m 32s
AG-16-FLH,"0,00","114522,99",00h 00m 00s,00h 30m 01s,00h 30m 01s
